age,value,current_asset,current_quantity,current_mortgage_rate,current_origination_ltv,fico_score,current_ltv,wage,consumption,future_asset,future_quantity,new_mortgage_rate,new_origination_ltv,status,average_bequest,
30.0,2.2807193923163207,0.5,0.6875,0.03209488244454717,0.5,0.5,0.5,1.0,0.7943561133732001,0.0,0.0,NaN,NaN,5.0,14.078854104796392,
30.0,2.3771159483286595,0.5,0.8125,0.03209488244454717,0.5,0.5,0.5,1.0,0.6633299521683276,0.0,0.0,NaN,NaN,5.0,16.63864576021392,
30.0,2.415708071298659,0.5,0.9375,0.03209488244454717,0.5,0.5,0.5,1.0,0.5323037909634547,0.0,0.0,NaN,NaN,5.0,19.198437415631446,
30.0,1.1168308741187105,0.25,0.25,0.03209488244454717,0.5,0.5,0.5,1.0,0.9954476775902547,0.0,0.0,NaN,NaN,5.0,5.119583310835052,
30.0,2.044130543364359,0.25,0.75,0.03209488244454717,0.5,0.5,0.5,1.0,0.47134303277076384,0.0,0.0,NaN,NaN,5.0,15.358749932505155,
30.0,0.29858837127720517,0.25,0.125,0.03209488244454717,0.5,0.5,0.5,1.0,1.1264738387951274,0.0,0.0,NaN,NaN,5.0,2.559791655417526,
30.0,1.5493770430519058,0.25,0.375,0.03209488244454717,0.5,0.5,0.5,1.0,0.8644215163853819,0.0,0.0,NaN,NaN,5.0,7.679374966252578,
30.0,1.97145306757319,0.25,0.625,0.03209488244454717,0.5,0.5,0.5,1.0,0.6023691939756365,0.0,0.0,NaN,NaN,5.0,12.798958277087632,
30.0,2.026301412205771,0.25,0.875,0.03209488244454717,0.5,0.5,0.5,1.0,0.34031687156589097,0.0,0.0,NaN,NaN,5.0,17.91854158792268,
30.0,1.3961999687091204,0.75,0.25,0.03209488244454717,0.5,0.5,0.5,1.0,1.5104476775902547,0.0,0.0,NaN,NaN,5.0,5.119583310835052,
30.0,2.5388706443808644,0.75,0.75,0.03209488244454717,0.5,0.5,0.5,1.0,0.9863430327707637,0.0,0.0,NaN,NaN,5.0,15.358749932505155,
30.0,0.5508448876710792,0.75,0.125,0.03209488244454717,0.5,0.5,0.5,1.0,1.6414738387951273,0.0,0.0,NaN,NaN,5.0,2.559791655417526,
30.0,1.8625075618081142,0.75,0.375,0.03209488244454717,0.5,0.5,0.5,1.0,1.3794215163853818,1.734723475976807E-18,0.0,NaN,NaN,5.0,7.679374966252578,
30.0,2.3854204272804647,0.75,0.625,0.03209488244454717,0.5,0.5,0.5,1.0,1.1173691939756365,0.0,0.0,NaN,NaN,5.0,12.798958277087632,
30.0,2.643769962718577,0.75,0.875,0.03209488244454717,0.5,0.5,0.5,1.0,0.8553168715658909,0.0,0.0,NaN,NaN,5.0,17.91854158792268,
30.0,1.0240343018552664,0.125,0.25,0.03209488244454717,0.5,0.5,0.5,1.0,0.8666976775902545,1.734723475976807E-18,0.0,NaN,NaN,5.0,5.119583310835052,
30.0,1.830371809106167,0.125,0.75,0.03209488244454717,0.5,0.5,0.5,1.0,0.3425930327707637,0.0,0.0,NaN,NaN,5.0,15.358749932505155,
30.0,1.1983245295468326,0.375,0.25,0.03209488244454717,0.5,0.5,0.5,1.0,1.1241976775902547,0.0,0.0,NaN,NaN,5.0,5.119583310835052,
30.0,2.2059345795801644,0.375,0.75,0.03209488244454717,0.5,0.5,0.5,1.0,0.6000930327707638,0.0,0.0,NaN,NaN,5.0,15.358749932505155,
