age,value,current_asset,current_quantity,current_origination_ltv,fico_score,current_ltv,wage,consumption,future_asset,future_quantity,future_oltv,status,
29.0,-2.567666851986063,0.75,0.001,0.5,1.0,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,0.5,5.0,
29.0,-2.567666851986063,0.75,0.001,0.5,0.5,0.0,0.8034569864365203,0.7156712721508058,0.21507142857142858,0.001,0.5,5.0,
29.0,3.6456439315364655,0.001,1.0,1.0,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,1.0,5.0,
29.0,3.6456439315364655,0.001,1.0,1.0,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,1.0,5.0,
29.0,3.6456439315364655,0.001,1.0,1.0,0.25,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,1.0,5.0,
29.0,3.6456439315364655,0.001,1.0,1.0,0.75,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,1.0,5.0,
29.0,3.6456439315364655,0.001,1.0,0.5,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.5,5.0,
29.0,3.6456439315364655,0.001,1.0,0.5,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.5,5.0,
29.0,3.6456439315364655,0.001,1.0,0.5,0.25,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.5,5.0,
29.0,3.6456439315364655,0.001,1.0,0.5,0.75,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.5,5.0,
29.0,3.6456439315364655,0.001,1.0,0.25,1.0,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.25,5.0,
29.0,3.6456439315364655,0.001,1.0,0.25,0.5,0.0,0.8034569864365203,0.8004869864365203,0.001,1.0,0.25,5.0,
